X,HN,APOE,ID,Treatment,Genotype,Sex,Age,Age_Cat,Diet,Stage,Trial,Distance,Time.freezing,Time.mobile,Object1_head.entries,Object1_head.time,Obj1_RI,Object1_latency.to.first.entry,Object1_time.mobile,Object1_time.immobile,Object1...in.zone.oriented.to.centre,Object1_time.freezing,Object2_head.entries,Object2_head.time,Obj2_RI,Object2_latency.to.first.entry,Object2_time.mobile,Object2_time.immobile,Object2...in.zone.oriented.to.centre,Object2_time.freezing,Object3_head.entries,Object3.headtime,Object3_latency.to.first.entry,Object3...in.zone.oriented.to.centre,Object4_head.entries,Object4.headtime,Object4_latency.to.first.entry,Object4...in.zone.oriented.to.centre,Outerzone_head.entries,Outerzone.headtime,Outerzone.distance,Outerzone_latency.to.first.entry,Outerzone_average.speed,Outerzone_time.mobile,Outerzone_time.immobile,Outerzone_time.freezing,Centerzone_head.entries,Centerzone_head.time,Centerzone_distance,Centerzone_latency.to.first.entry,Centerzone_average.speed,Centerzone_time.mobile,Centerzone_time.immobile,Centerzone.time.freezing,Object1Center...head.time.oriented.towards,Object2Center...head.time.oriented.towards,Total_time,Tracked_time,Percentage_time_center,Percentage_time_outerzone
1,-1,APOE4,220905-1,E44_M_18monthHFD,E44,Male,18,Old,HFD,openfield,1,14.811,73.4,290.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,240.4,3.356,24.2,0.018,88.7,99.5,12.6,53,155.1,4.289,0,0.035,76.7,47.6,15.7,81.5,62,363.5,340.8,22.50586854,26.02699531
2,-1,APOE4,220905-2,E44_F_18monthHFD,E44,Female,18,Old,HFD,openfield,1,21.124,59.3,415.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,319.8,4.638,28,0.027,110.5,58.7,8.3,55,116.4,6,0,0.051,98.3,19.8,5.9,NA,NA,474.7,301.5,32.60364842,36.65008292
3,-1,APOE4,220905-3,E44_M_18monthHFD,E44,Male,18,Old,HFD,openfield,1,25.632,57.5,389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,359.6,13.571,7.3,0.042,232.2,88.3,23.7,50,84,4.515,0,0.049,52.1,39.6,12,NA,NA,446.5,447.9,11.63206073,51.841929
4,1,APOE3,220905-4,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,19.664,44.7,352.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,279,7.124,14.7,0.027,163.1,97,14.8,70,112.9,5.776,0,0.046,81.6,42.8,8.5,NA,NA,397.5,407.8,20.00980873,39.99509564
5,1,APOE3,220905-5,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,21.143,49.7,349.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,319.3,8.04,4.5,0.031,152.8,106.2,16.4,60,67.6,4.592,0,0.071,54.6,10.2,2.3,95.6,78.8,399,342.5,15.94160584,44.61313869
6,1,APOE3,220905-6,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,28.55,22.3,431.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,297.7,9.431,2.6,0.044,182.5,31.3,2.5,68,166.1,8.352,0,0.05,93.9,72.6,8.4,NA,NA,453.9,391.2,24.00306748,46.65132924
7,1,APOE3,220905-7,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,32.394,19.5,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,356.1,14.246,3.1,0.041,277.3,73.1,12.4,67,75,7.04,0,0.088,63.4,16.9,1.3,NA,NA,504.5,444.4,14.26642664,62.39873987
8,1,APOE3,220905-8,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,18.932,30.3,372.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,377.3,8.191,4.4,0.022,213.4,152,18.9,50,76.4,4.079,0,0.058,52.7,17.6,1.3,NA,NA,402.6,455.9,11.55955253,46.80851064
9,1,APOE3,220905-9,E3HN_M_6monthControl,E3HN,Male,6,6 Months,Control,openfield,1,16.143,50.6,310.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,245.4,5.86,3.6,0.026,142.3,81.4,11.2,66,111.8,3.534,0,0.034,52.8,50.4,12.6,97.7,99.9,361.4,350.7,15.05560308,40.57599088
10,1,APOE2,220905-10,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,19.844,56.8,346.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,359.8,8.015,3.9,0.025,162.3,161,46.4,48,59.8,3.254,0,0.065,45.1,5,1.2,NA,NA,403.7,421,10.71258907,38.55106888
11,1,APOE2,220905-11,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,17.289,71.4,302.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,272.4,7.25,9,0.023,150.1,158.5,37,59,122,4.09,0,0.039,61.7,43.5,15.2,NA,NA,374.1,466,13.24034335,32.21030043
12,1,APOE2,220905-12,E2HN_M_18monthControl,E2HN,Male,18,Old,Control,openfield,1,15.656,136.7,270.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,273.3,5.943,13.7,0.021,128.3,155,68.1,50,131.3,4.001,0,0.027,53.3,96.9,38.4,NA,NA,407.3,540,9.87037037,23.75925926
13,-1,APOE3,220905-13,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,36.804,14.5,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,297.3,10.301,1.3,0.041,211.2,42.3,10.5,97,126.3,9.615,0,0.081,115.2,3.2,1.1,58.2,48.9,559.5,383.5,30.03911343,55.07170795
14,-1,APOE3,220905-15,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,27.695,33.4,495.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,339,10.147,1.5,0.034,239.1,60.4,13.1,62,104.8,7.511,0,0.076,84.4,14.3,9.8,NA,NA,529,421.1,20.04274519,56.77986227
15,-1,APOE3,220905-16,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,24.069,44.2,442.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,263.1,5.347,5.9,0.033,130.7,29.7,2.7,84,171.9,8.027,0,0.055,106.4,39.3,12.4,NA,NA,486.7,321.2,33.12577833,40.69115816
16,-1,APOE3,220905-14,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,24.996,55.8,492.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,238.4,4.374,4.8,0.033,121.7,11.4,2.5,84,164.4,9.626,0,0.048,167.6,31.1,16.8,NA,NA,548.2,351.1,47.73568784,34.66248932
17,-1,APOE3,220905-17,E33_F_6monthControl,E33,Female,6,6 Months,Control,openfield,1,29.756,40.6,472.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,296.3,7.957,6.9,0.033,179.9,58.7,15,85,123.3,8.158,0,0.073,83.7,27.6,10.1,51.7,80.3,512.7,375,22.32,47.97333333
18,1,APOE4,220905-18,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,13.592,53.1,307.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,186.5,1.468,5.5,0.021,47.7,22.1,0,75,204.3,5.08,0,0.025,86.7,114.6,24.7,NA,NA,360.6,295.8,29.31034483,16.12576065
19,1,APOE4,220905-20,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,13.462,187.4,185.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,365.2,8.389,6.3,0.017,129.9,364.2,171.1,15,23.9,1.732,0,0.085,17.3,3.1,1.1,NA,NA,372.8,686.7,2.51929518,18.91655745
20,1,APOE4,220905-19,E4HN_M_6monthControl,E4HN,Male,6,6 Months,Control,openfield,1,14.664,123.1,242.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,336.7,8.717,1,0.022,163.5,226.7,73.6,26,60.5,2.66,40.1,0.08,33.3,0,0,NA,NA,366,497.1,6.698853349,32.89076645
21,-1,APOE4,220905-21,E44_F_6monthControl,E44,Female,6,6 Months,Control,openfield,1,25.294,39.8,400.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,410,13.183,10.6,0.033,256.6,146.6,31.1,42,62.7,3.984,0,0.064,46.4,15.8,4.9,51.2,52.9,440.2,501.4,9.254088552,51.17670523
