,0
Gnai3,10
Klf6,10
Cox5a,10
Ngfr,10
Actr2,10
Gna12,10
Sdhd,10
Ccnd2,10
Gmpr,10
Scpep1,10
Mnt,10
Itgb2,10
Alox12_1,10
Rtca,10
Dbt,10
Dazap2,10
Mcts1,10
Trappc10,10
Ccm2,10
Mkrn2,10
Plin2_1,10
Mcm7,10
Serpinb8,10
Tamalin,10
Acvr1b,10
Ovgp1_1,10
C1d,10
Gm2a,10
Clcn4,10
Sema4f,10
Hk2,10
Cd52,10
Kat2b,10
Rab5b,10
Sult5a1,10
Rpl13,10
Chmp1a,10
Rpa1,10
Polr3d,10
Ddx3x,10
Tpd52l2_1,10
Bcl11a_1,10
Pxmp4,10
Hip1r,10
Top1mt,10
Oxa1l,10
Heatr6,10
Icam4,10
Ilf2_1,10
S100a4,10
S100a6_1,10
Icam2,10
Sec24b,10
N4bp3,10
Rmnd5b_1,10
Zfp276,10
Poldip2,10
Araf_1,10
Cfp,10
Uxt,10
Cnnm3,10
Mxd1,10
Gmcl1,10
Snrnp27,10
Anxa4,10
Sh3bp1_1,10
Gatd3a,10
Sema6b_1,10
Gramd1a_1,10
Ckb,10
Sp1,10
Itgb7_1,10
Pfdn5_1,10
Rrp15,10
Hars1,10
Zmat2_1,10
Smg5_1,10
Cct3,10
Mef2d_1,10
Snd1,10
Kpnb1,10
Npepps_1,10
Tbx21,10
Mrpl10,10
Cyp51,10
Tubb6,10
Afg3l1_1,10
Itfg2_1,10
Tulp3,10
Tubb5,10
Flot1,10
Ell2,10
Nom1,10
Hoxc9,10
Cabin1,10
Gstt1,10
Ddt,10
Ddx18,10
Akt1,10
Tcirg1_1,10
Naglu,10
Coasy,10
Pabpc1_1,10
Crnkl1,10
Chordc1_1,10
Rtcb,10
Pwp1,10
Fbxo7_1,10
Ltbp1_1,10
Tollip,10
Ace_1,10
Ace_2,10
Nacc1,10
Uba1_1,10
Esam,10
Spa17,10
Emd_1,10
Ccdc47,10
Map3k3,10
Blvra,10
Srpk3,10
Abcd1,10
Ssr4_1,10
Bcap31,10
Kmt2a,10
Trappc6a_1,10
Supt6_1,10
Unc119_1,10
Sdf2,10
Bbc3,10
Spi1_1,10
Sf3a1,10
Napsa,10
Vrk3,10
Smg9_1,10
Plaur,10
Uchl3,10
Paxip1,10
Rmnd5a_1,10
Ppm1j,10
Rhoc,10
Kdm7a_1,10
Ppard,10
Def6,10
Gene_1,10
Ciao3,10
Gmpr2,10
Mdp1_1,10
Dhrs1_1,10
Ncan,10
Borcs8_1,10
Snx9,10
Ranbp3_1,10
Ndufa11_1,10
Nr2f6,10
Ocel1_1,6
Babam1,10
Braf,10
Tle5_1,10
Rgs19,10
Rgs20,10
Snrpd1_1,10
Puf60,10
Uck1,10
Mien1,10
Tgfb1_1,10
Ccdc97,10
Akap8,5
Pdcd2l,10
Gtf2f1,10
Clpp,10
Alkbh7,10
Prkra,10
Ykt6,10
Baz1b,10
Tmed5_1,10
Ppp2r5d_1,10
Pex6,10
Mea1_1,10
Kdelr1,10
Ggct_1,10
Flii_1,10
Chaf1a_1,10
Adprh,10
Timmdc1,10
Il17ra_1,10
Tbxas1_1,10
Timm44,10
Ap2a2,10
Med25_1,10
Bcam,10
Prkar2b_1,10
Cdkn1b,10
Ap1m1,10
Rab8a_1,10
Fam32a,10
Stk11_1,10
Atp5f1d,10
Prkd3,10
Lipe_1,10
Cnot11,10
Sri_1,10
Sh3gl1,10
Ebi3,10
Bcl2l12,10
Ranbp2,10
Grk5,10
Abcf3,10
Eif2b5_1,10
Mrpl4_1,10
Mknk2_1,10
Abhd17a,10
Mob3a,10
Ddx23,10
Rnd1,10
Ogdh,10
Cd79a,10
Prkcsh_1,10
St8sia6,10
Fcgrt_1,10
Nosip,10
Rps11_1,10
Supt5_1,10
Paf1_1,10
Med29,10
Phyhip,10
Gars1,10
Tpm4,10
Slc25a1,10
Ier3,10
Ercc1,10
Rnf215,10
Aven_1,10
Abcb4_1,10
Crot_1,10
Ciao1_1,10
Man1a,10
Itpkc,10
Shkbp1_1,10
Coq8b_1,10
Mxi1_1,10
Mast2,10
Dnase2a_1,10
Rad23a_1,10
Calr,10
Nob1,10
Nqo1,10
Gys1,10
Mmd,10
Kpna1,10
Dzip1_1,10
Rpl8,10
Cux1_1,10
Gstm5,10
Gstm1_1,10
Stat5b,10
Map3k11_1,10
Hmox2_1,10
Cwc15_1,10
Ppan_1,10
Eif3g,10
Dyrk2,10
G6pdx,10
Phb2,10
Emg1,10
Lpcat3,10
Grcc10_1,10
Irf5,10
Atp6v1f,10
Clcn5,10
Utp20,10
Spic,10
Sin3b_1,10
Ddx56,10
Tmed4,10
Rps5_1,10
Bid,10
Ralb,10
Dnajb11,10
Zfp110,10
Gab2,10
Coro1c,10
Ndrg2,10
Mcoln1_1,10
Arhgef18_1,10
Etfb_1,10
Stxbp2_1,10
Aqp1,10
Arid3b,10
Cnn2,10
Polr2e,10
Ly9,10
Rab11a_1,10
Eif2b2_1,10
Ulk2,10
Traf6,10
Grap,10
Plod3_1,10
Lbr_1,10
Prcc,10
Hdgf,10
U2af2_1,10
Tmem242,10
Thop1,10
Pias4,10
Map2k1,10
Kdm5a_1,10
Cstb,10
Wdr1,10
Ndrg1,10
Prdx2_1,10
Ufd1,10
Letm1_1,10
Txn2_1,10
Msh6,10
Nid1,10
Hmox1,10
Pafah1b3,10
Rfx1,10
Il27ra,10
Prkaca,10
Asf1b,10
Pkn1_1,10
Dnajb1_1,10
Ndufs3,10
Por,10
Igf1r,10
Fcer2a,10
Trim28_1,10
Chmp2a,10
Ube2m_1,10
Ctr9,10
Snx6,10
Mthfd2,10
Cs,10
Ampd3,10
Bcas2_1,10
Ctcf,10
Tfap4,10
Psmb4_1,10
Sqor_1,10
Adh5_1,10
Gpr108_1,10
Reep5_1,10
Ergic3_1,10
Ctns,10
Trap1,10
Kptn,10
Napa_1,10
Sra1_1,10
Snf8_1,10
Ctsb_1,10
Tbcb,10
Crkl,10
Lrwd1_1,10
Cdkal1,10
Zbtb17,10
Serpinb9,10
Epor,10
Mob1b_1,10
Atp6v1b2,10
Tep1_1,10
Ttc5,10
Aamp_1,10
Arpc2_1,10
Rps9_1,10
Crip1,10
Cbfa2t3_1,10
Peds1,10
Srm,10
Rbm14,10
Gvin1,5
Pdk1,10
Mvd,10
Stimate,10
Slc4a1,10
Cdt1,10
Aprt_1,10
Gtf2h1,10
Qrich1_1,10
Pola1,10
Acot13,10
