structure,Metric,Eigengene,raw_beta,std_beta,std_se,std_stat,p_value,p_fdr,r_squared
Primary_Auditory_Cortex,rd_mean,Eigengene_1,-132.40363642753496,-0.24803655580202907,0.12415193830158208,-1.9978468253915962,0.046236234849557536,0.07706039141592923,0.0073643087272240075
Primary_Auditory_Cortex,rd_mean,Eigengene_2,-157.316675179482,-0.2947070589190442,0.065178923931033,-4.521508505278164,7.557823282329267e-6,2.7208163816385364e-5,0.036608930760427344
Primary_Auditory_Cortex,rd_mean,Eigengene_3,82.45872139478627,0.15447292689574918,0.06148563006119588,2.51234193651434,0.012284767296538308,0.02421085525595141,0.011596039782611606
Primary_Auditory_Cortex,rd_mean,Eigengene_4,82.51219828284434,0.15457310709839864,0.04132320795366459,3.740588273585156,2.032991188895766e-4,5.54452142426118e-4,0.025348194568853344
Primary_Auditory_Cortex,rd_mean,Eigengene_5,-10.291010440238782,-0.019278524776142142,0.03043808067145335,-0.6333686077066841,0.52676210618676,0.582892494550923,7.450871695052037e-4
Primary_Auditory_Cortex,rd_mean,Eigengene_6,-115.38572193909674,-0.2161562766002128,0.03481624095453543,-6.208489793096248,1.0701029230451062e-9,2.1402058460902126e-8,0.06685570495208548
Primary_Auditory_Cortex,rd_mean,Eigengene_7,-27.263389120807005,-0.051073500090131625,0.033746191480203906,-1.5134596779637257,0.13075014771737942,0.18150406109867578,0.004239496977307255
Primary_Auditory_Cortex,rd_mean,Eigengene_8,88.27319954558443,0.16536540064664457,0.03203378179306528,5.1622191133999396,3.4399606701261866e-7,1.7360549176337763e-6,0.04719485818758944
Primary_Auditory_Cortex,rd_mean,Eigengene_9,30.99351534843767,0.05806128144698832,0.031268709055180845,1.8568493296133781,0.06387894796163253,0.10115727829701339,0.006367906312271317
Primary_Auditory_Cortex,rd_mean,Eigengene_10,-16.843132022092323,-0.03155285283999821,0.029488146302929667,-1.0700181868286314,0.2850909370282831,0.34041520151631804,0.002123619897902106
Frontal_Association_Cortex,rd_mean,Eigengene_1,-147.81438052661193,-0.2769060641615936,0.12460673753295044,-2.2222399016615757,0.02668216819090495,0.04868177368106258,0.00909560022587239
Frontal_Association_Cortex,rd_mean,Eigengene_2,-94.9309885525707,-0.1778376793476389,0.06626515580501732,-2.683728381638752,0.0075048689683209335,0.015527315106870897,0.01321050320483814
Frontal_Association_Cortex,rd_mean,Eigengene_3,81.35565666321534,0.1524065155476327,0.061777561489230644,2.467020579538429,0.013934632521955979,0.027164987587928624,0.011186077951780296
Frontal_Association_Cortex,rd_mean,Eigengene_4,82.5009893652,0.15455210902461633,0.041515813928547314,3.722728627954044,2.1784598811681446e-4,5.911398672516574e-4,0.025112783807707106
Frontal_Association_Cortex,rd_mean,Eigengene_5,-8.506168869029157,-0.01593491603607999,0.030579940388538417,-0.5210904872153548,0.6025181492383097,0.6520236484743231,5.044578396981047e-4
Frontal_Association_Cortex,rd_mean,Eigengene_6,-97.89145100355485,-0.18338362151158724,0.035331711653592966,-5.190340714584048,2.9801389484453346e-7,1.5326428877718865e-6,0.04768586762514356
Frontal_Association_Cortex,rd_mean,Eigengene_7,-19.36405231620404,-0.03627538466823198,0.03393545638721777,-1.0689523150746714,0.2855705301609112,0.34041520151631804,0.0021194001860526178
Frontal_Association_Cortex,rd_mean,Eigengene_8,95.20700029824364,0.17835474220637035,0.032057214773519235,5.563638122227005,4.17048500740957e-8,3.085016306850915e-7,0.05440521622609135
Frontal_Association_Cortex,rd_mean,Eigengene_9,33.874417231681875,0.06345817990086514,0.03139215602825339,2.0214661217837944,0.043726139124912404,0.0740191696785351,0.0075381449244223105
Frontal_Association_Cortex,rd_mean,Eigengene_10,-17.2368155326308,-0.03229035450282787,0.02962081932919715,-1.0901236101527876,0.27614670977266853,0.3328554091009844,0.002203996882474861
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_1,-101.35937638696896,-0.18988021247456427,0.12298042482189275,-1.543987286997582,0.12317939158915223,0.17322101942224533,0.004411487382916051
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_2,-160.61099064782275,-0.3008784201032208,0.06438787290319442,-4.6729051067672955,3.7575252916383126e-6,1.4390522393508431e-5,0.039004352155508425
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_3,114.0069158296682,0.21357330888324527,0.06047378239179005,3.531667781247301,4.484040063045022e-4,0.0011421611481341094,0.02265812243014436
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_4,100.83723755217758,0.18890207077297272,0.040591669596096835,4.653715224148773,4.1099704911867016e-6,1.541238934195013e-5,0.03869702846059835
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_5,4.714100314739151,0.008831095862031839,0.03011493300110599,0.2932464057518412,0.7694468932556543,0.8015195123104492,1.5981359026704815e-4
