structure,Metric,Eigengene,std_beta,std_se,std_stat,p_value,p_fdr,r_squared
Primary_Auditory_Cortex,rd_mean,Eigengene_2,-0.1913346041896952,0.042316541916562096,-4.521508505278158,7.557823282329475e-6,2.720816381638611e-5,0.03660893076042746
Primary_Auditory_Cortex,rd_mean,Eigengene_3,0.10768490972560447,0.04286236206963464,2.512341936514335,0.012284767296538483,0.024210855255951756,0.011596039782611598
Primary_Auditory_Cortex,rd_mean,Eigengene_4,0.15921116345549866,0.042563134943184366,3.7405882735851708,2.0329911888956493e-4,5.544521424260861e-4,0.02534819456885339
Primary_Auditory_Cortex,rd_mean,Eigengene_6,-0.2585647016746204,0.041646956070080156,-6.208489793096247,1.0701029230451145e-9,2.1402058460902292e-8,0.06685570495208554
Primary_Auditory_Cortex,rd_mean,Eigengene_8,0.217243775946722,0.04208340854474905,5.162219113399943,3.4399606701261204e-7,1.736054917633743e-6,0.04719485818758944
Frontal_Association_Cortex,rd_mean,Eigengene_1,-0.09537085627104536,0.0429165438887746,-2.22223990166158,0.026682168190904618,0.048681773681062704,0.009095600225872372
Frontal_Association_Cortex,rd_mean,Eigengene_2,-0.11493695317363427,0.04282734197692932,-2.6837283816387605,0.007504868968320746,0.01552731510687051,0.013210503204838096
Frontal_Association_Cortex,rd_mean,Eigengene_3,0.10576425649424422,0.042871250192016,2.4670205795384272,0.013934632521956047,0.027164987587928756,0.011186077951780315
Frontal_Association_Cortex,rd_mean,Eigengene_4,0.15847013538110935,0.04256827483775042,3.7227286279540457,2.1784598811681264e-4,5.911398672516524e-4,0.025112783807707078
Frontal_Association_Cortex,rd_mean,Eigengene_6,-0.21837094043197103,0.04207256371790448,-5.1903407145840434,2.9801389484453917e-7,1.532642887771916e-6,0.047685867625143534
Frontal_Association_Cortex,rd_mean,Eigengene_8,0.23324925771820004,0.041923872939607296,5.563638122226999,4.170485007409681e-8,3.085016306850997e-7,0.05440521622609138
Medial_Parietal_Association_Cortex,rd_mean,Eigengene_2,-0.19749519527195702,0.042263900241831326,-4.672905106767293,3.757525291638356e-6,1.43905223935086e-5,0.03900435215550842
