structure,Eigengene,Metric,n
Accumbens,Eigengene_1,b0_mean,1
Accumbens,Eigengene_1,msd_RAS_060622_mean,1
Accumbens,Eigengene_1,ng_RAS_060622_mean,1
Accumbens,Eigengene_1,qiv_RAS_060622_mean,1
Accumbens,Eigengene_1,rd_mean,1
Accumbens,Eigengene_1,rtap_RAS_060622_mean,1
Accumbens,Eigengene_1,rtop_RAS_060622_mean,1
Accumbens,Eigengene_1,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_1,volume_mm3,1
Accumbens,Eigengene_10,msd_RAS_060622_mean,1
Accumbens,Eigengene_10,ng_RAS_060622_mean,1
Accumbens,Eigengene_10,qiv_RAS_060622_mean,1
Accumbens,Eigengene_10,rd_mean,1
Accumbens,Eigengene_10,rtap_RAS_060622_mean,1
Accumbens,Eigengene_10,rtop_RAS_060622_mean,1
Accumbens,Eigengene_10,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_2,b0_mean,1
Accumbens,Eigengene_2,mrtrixad_mean,1
Accumbens,Eigengene_2,mrtrixfa_mean,1
Accumbens,Eigengene_2,mrtrixmd_mean,1
Accumbens,Eigengene_2,mrtrixrd_mean,1
Accumbens,Eigengene_2,msd_RAS_060622_mean,1
Accumbens,Eigengene_2,ng_RAS_060622_mean,1
Accumbens,Eigengene_2,qiv_RAS_060622_mean,1
Accumbens,Eigengene_2,rd_mean,1
Accumbens,Eigengene_2,rtap_RAS_060622_mean,1
Accumbens,Eigengene_2,rtop_RAS_060622_mean,1
Accumbens,Eigengene_2,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_2,volume_percentage_mean,1
Accumbens,Eigengene_3,b0_mean,1
Accumbens,Eigengene_3,mrtrixad_mean,1
Accumbens,Eigengene_3,mrtrixfa_mean,1
Accumbens,Eigengene_3,mrtrixmd_mean,1
Accumbens,Eigengene_3,mrtrixrd_mean,1
Accumbens,Eigengene_3,msd_RAS_060622_mean,1
Accumbens,Eigengene_3,ng_RAS_060622_mean,1
Accumbens,Eigengene_3,qiv_RAS_060622_mean,1
Accumbens,Eigengene_3,rd_mean,1
Accumbens,Eigengene_3,rtap_RAS_060622_mean,1
Accumbens,Eigengene_3,rtop_RAS_060622_mean,1
Accumbens,Eigengene_3,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_3,volume_percentage_mean,1
Accumbens,Eigengene_4,b0_mean,1
Accumbens,Eigengene_4,mrtrixad_mean,1
Accumbens,Eigengene_4,mrtrixfa_mean,1
Accumbens,Eigengene_4,mrtrixmd_mean,1
Accumbens,Eigengene_4,mrtrixrd_mean,1
Accumbens,Eigengene_4,msd_RAS_060622_mean,1
Accumbens,Eigengene_4,ng_RAS_060622_mean,1
Accumbens,Eigengene_4,qiv_RAS_060622_mean,1
Accumbens,Eigengene_4,rd_mean,1
Accumbens,Eigengene_4,rtap_RAS_060622_mean,1
Accumbens,Eigengene_4,rtop_RAS_060622_mean,1
