structure,Eigengene,n
Amygdala,Eigengene_4,14
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,14
Cerebellar_White_Matter,Eigengene_2,14
Cerebellar_White_Matter,Eigengene_3,14
Cerebral_Peduncle,Eigengene_2,14
Cerebral_Peduncle,Eigengene_3,14
Cingulum,Eigengene_2,14
Deep_Mesencephalic_Nuclei,Eigengene_2,14
Deep_Mesencephalic_Nuclei,Eigengene_3,14
Dentate_(Lateral)_Nucleus_of_Cerebellum,Eigengene_2,14
Dentate_(Lateral)_Nucleus_of_Cerebellum,Eigengene_3,14
Fastigial_Medial_Nucleus_of_Cerebellum,Eigengene_2,14
Fastigial_Medial_Nucleus_of_Cerebellum,Eigengene_3,14
Hippocampus,Eigengene_2,14
Hippocampus,Eigengene_3,14
Interpeduncular_Nucleus,Eigengene_4,14
Medial_Geniculate_Nucleus,Eigengene_2,14
Midbrain_Reticular_Nucleus,Eigengene_2,14
Parasubiculum,Eigengene_4,14
Periaquaductal_Grey,Eigengene_2,14
Postsubiculum,Eigengene_2,14
Reticular_Nucleus_of_Thalamus,Eigengene_2,14
Reticular_Nucleus_of_Thalamus,Eigengene_3,14
Spinal_Trigeminal_Nerve,Eigengene_4,14
Striatum,Eigengene_3,14
Striatum,Eigengene_4,14
Substantia_Nigra,Eigengene_3,14
Substantia_Nigra,Eigengene_4,14
Superior_Cerebellar_Peduncle,Eigengene_3,14
Thalamus_Rest,Eigengene_3,14
Ventral_Spinocerebellar_Tract,Eigengene_2,14
Ventral_Tegmental_Area,Eigengene_2,14
Accumbens,Eigengene_2,13
Accumbens,Eigengene_3,13
Accumbens,Eigengene_4,13
Accumbens,Eigengene_8,13
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,13
Brachium_of_Superior_Colliculus,Eigengene_4,13
Cerebellar_White_Matter,Eigengene_4,13
Cingulum,Eigengene_3,13
Corpus_Callosum,Eigengene_2,13
Corpus_Callosum,Eigengene_3,13
Cuneate_Nucleus,Eigengene_2,13
Cuneate_Nucleus,Eigengene_3,13
Cuneate_Nucleus,Eigengene_4,13
Dentate_(Lateral)_Nucleus_of_Cerebellum,Eigengene_4,13
Dentate_(Lateral)_Nucleus_of_Cerebellum,Eigengene_8,13
Dorsal_Tegmentum,Eigengene_2,13
Dorsal_Tegmentum,Eigengene_3,13
Dorsal_Tegmentum,Eigengene_4,13
Fastigial_Medial_Nucleus_of_Cerebellum,Eigengene_4,13
Internal_Capsule,Eigengene_2,13
Internal_Capsule,Eigengene_3,13
Internal_Capsule,Eigengene_4,13
Interpeduncular_Nucleus,Eigengene_2,13
Interpeduncular_Nucleus,Eigengene_3,13
Interpeduncular_Nucleus,Eigengene_8,13
Lateral_Geniculate_Nucleus,Eigengene_2,13
Medial_Geniculate_Nucleus,Eigengene_3,13
Medial_Lemniscus,Eigengene_2,13
Medial_Lemniscus,Eigengene_3,13
Medial_Lemniscus,Eigengene_4,13
Medial_Lemniscus,Eigengene_8,13
Medial_Longitudinal_Fasciculus_and_Tectospinal_Tract,Eigengene_2,13
Medial_Parietal_Association_Cortex,Eigengene_2,13
