structure,Metric,Eigengene,std_beta,std_se,std_stat,p_value,p_fdr,r_squared,RegionGroup
Parasubiculum,mrtrixad_mean,Eigengene_2,-0.4918752807969311,0.03753706243200252,-13.103723331785785,3.034393169508873e-34,1.6385723115347914e-32,0.24194129185905913,Hippocampal_Formation
Postsubiculum,mrtrixad_mean,Eigengene_3,0.19174912395700258,0.042313054254423346,4.531677689916639,7.2156692821118596e-6,2.4661148179369647e-05,0.036767726538277985,Hippocampal_Formation
Postsubiculum,mrtrixad_mean,Eigengene_4,0.26384849644676195,0.041585312742793624,6.344752006042918,4.731235842104587e-10,2.903258357655087e-9,0.06961602907721696,Hippocampal_Formation
Postsubiculum,mrtrixad_mean,Eigengene_5,0.10705925752413199,0.0428652751416688,2.497575419037985,0.012802188330227907,0.030320972361066092,0.011461684621618408,Hippocampal_Formation
Hippocampus,mrtrixad_mean,Eigengene_6,-0.2711287355447265,0.04149817949072533,-6.533509153222556,1.4915035868469147e-10,1.1343830097145548e-9,0.07351079123808234,Hippocampal_Formation
Postsubiculum,mrtrixad_mean,Eigengene_8,0.21914287963473145,0.0420651026303718,5.20961238488709,2.7000161930372304e-7,1.104552078969776e-6,0.048023601694602396,Hippocampal_Formation
Hippocampus,mrtrixfa_mean,Eigengene_2,0.36885319262563404,0.04007305879803786,9.204518040027795,7.578822885963141e-19,2.728376238946731e-17,0.13605267771012286,Hippocampal_Formation
Parasubiculum,mrtrixfa_mean,Eigengene_4,-0.1953832108995393,0.04228214227748613,-4.620939251783714,4.786611481335654e-6,2.4853559614627435e-5,0.03817459910141385,Hippocampal_Formation
Parasubiculum,mrtrixfa_mean,Eigengene_6,0.34190696220178496,0.04051480130647623,8.439063038108289,2.9728426357349636e-16,6.9797174925951325e-15,0.11690037080205272,Hippocampal_Formation
Parasubiculum,mrtrixfa_mean,Eigengene_8,-0.15125067228983333,0.04261706453800162,-3.5490635952873566,4.204335491718429e-4,0.0016693685040646703,0.022876765868126637,Hippocampal_Formation
Parasubiculum,mrtrixmd_mean,Eigengene_2,-0.4869825500539465,0.037655452167792244,-12.93259068790246,1.6676640244687753e-33,8.586673331518443e-32,0.23715200405704318,Hippocampal_Formation
Parasubiculum,mrtrixmd_mean,Eigengene_3,0.18751164532985237,0.04234833825002422,4.427839511028396,1.1532453109459872e-5,3.916682188118447e-5,0.035160617134308146,Hippocampal_Formation
Postsubiculum,mrtrixmd_mean,Eigengene_4,0.2550272780873172,0.04168747878462925,6.117598989492002,1.8295394551798336e-9,1.00811357734399e-8,0.0650389125686256,Hippocampal_Formation
Hippocampus,mrtrixmd_mean,Eigengene_6,-0.27610310421568596,0.04143717140959755,-6.663174507894518,6.642470153994179e-11,6.642470153994179e-10,0.0762329241575379,Hippocampal_Formation
Postsubiculum,mrtrixmd_mean,Eigengene_8,0.20684072974969495,0.04218072536168999,4.903678824299094,1.2475713198213312e-6,4.917434399295758e-6,0.0427830874833862,Hippocampal_Formation
